,RAdeg,DEdeg,Z,LOGMSTAR,LOGMSTARERR,LOGSFRSED,LOGSFRSEDERR
117,186.39206,36.149517,0.0339,10.227,0.027,-0.279,0.091
118,201.63086,26.848324,0.0375,10.2,0.04,0.2,0.106
119,50.33916,41.024628,0.0182,9.735,0.057,-1.726,0.73
120,180.02667,19.053656,0.0419,10.348,0.038,0.118,0.183
121,189.9416,13.046034,0.0783,10.826,0.026,0.516,0.116
122,226.30559,57.3185,0.0296,10.222,0.06,0.14,0.228
123,192.40361,30.845518,0.0269,10.645,0.021,0.258,0.014
124,124.50582,20.161522,0.044,10.173,0.025,0.026,0.044
125,224.33836,44.176983,0.0118,8.988,0.012,-0.777,0.035
126,140.5763,40.567875,0.0729,10.899,0.018,0.204,0.134
127,175.329,23.094967,0.0497,10.539,0.027,0.034,0.22
128,120.18265,52.145023,0.0718,10.968,0.029,-1.221,0.772
129,180.0021,31.604467,0.0791,10.801,0.031,0.187,0.208
130,155.53188,25.487768,0.0208,10.05,0.035,-0.798,0.318
131,126.15609,12.37516,0.0836,11.197,0.009,0.545,0.064
132,244.54926,40.094772,0.0326,10.566,0.025,0.465,0.011
133,349.1787,15.665162,0.0908,11.411,0.021,0.426,0.063
134,227.66853,31.236286,0.083,11.42,0.01,0.638,0.124
135,194.06236,22.529078,0.0722,11.203,0.01,0.625,0.013
136,129.7491,37.324947,0.1218,11.447,0.012,0.743,0.046
137,173.75903,47.534462,0.0455,10.48,0.028,-0.016,0.068
138,147.44397,47.372204,0.0342,10.142,0.023,-0.385,0.254
139,203.70454,-1.393911,0.0552,10.711,0.022,0.365,0.049
140,176.4123,21.318087,0.0226,9.814,0.042,-0.311,0.063
141,5.737928,16.253117,0.0175,9.938,0.022,-0.489,0.037
142,242.72713,20.143162,0.0969,11.29,0.014,-1.202,0.677
143,168.5231,43.56408,0.0512,10.265,0.047,0.029,0.2
144,195.06638,22.555729,0.1773,11.399,0.028,1.27,0.094
145,221.05064,26.122293,0.0303,10.187,0.019,-0.25,0.031
146,188.71936,47.476635,0.0257,9.641,0.038,-0.535,0.121
147,206.75513,33.893597,0.0165,9.936,0.027,-0.369,0.098
148,226.99307,13.876324,0.0446,10.822,0.022,0.465,0.113
149,164.32153,37.112904,0.0954,10.835,0.033,0.337,0.22
150,208.99792,-1.261743,0.0245,10.614,0.015,0.188,0.018
151,213.0961,54.54071,0.0416,10.477,0.02,-0.167,0.264
152,136.75806,13.541778,0.0681,10.746,0.04,-0.289,0.68
153,158.28828,26.964294,0.042,10.621,0.037,0.25,0.186
154,237.08185,52.551888,0.0498,10.62,0.021,-0.201,0.219
156,203.51402,56.77364,0.0555,10.755,0.021,0.234,0.158
157,180.26498,13.760275,0.1061,10.622,0.064,0.849,0.119
158,166.4427,30.527075,0.0629,11.215,0.009,0.381,0.039
159,315.90164,-5.715674,0.1586,11.523,0.033,-0.604,0.726
160,118.86381,44.02934,0.0477,10.582,0.029,-0.209,0.443
161,239.4999,19.67584,0.0638,11.153,0.017,0.411,0.163
162,135.53596,20.675074,0.081,11.067,0.027,0.514,0.069
163,340.6246,-0.392894,0.0527,10.782,0.026,0.351,0.063
164,147.17162,34.383484,0.0382,10.476,0.015,-0.057,0.026
165,14.053001,-0.596688,0.0985,11.219,0.011,-0.468,0.233
166,144.24217,31.331318,0.0268,10.119,0.02,-0.24,0.026
167,359.60788,-9.900549,0.103,11.421,0.026,0.867,0.127
168,153.65762,15.693106,0.0635,10.672,0.032,0.297,0.208
169,117.68461,30.346367,0.0258,10.255,0.031,-1.847,1.005
170,173.60942,37.97405,0.0457,10.703,0.026,0.389,0.111
171,140.0519,54.10793,0.0116,8.923,0.076,-0.701,0.049
172,169.10818,15.886249,0.068,10.674,0.022,-0.04,0.115
173,248.74384,11.895353,0.0526,10.456,0.027,0.06,0.194
174,38.65088,-0.414365,0.0502,10.591,0.067,0.879,0.209
175,242.16489,12.010701,0.0161,9.818,0.028,-0.578,0.194
176,126.58071,22.876665,0.0177,9.595,0.026,-0.816,0.062
177,172.52461,44.187363,0.044,10.138,0.038,0.169,0.131
178,200.61441,41.25091,0.0431,10.151,0.025,-0.198,0.252
179,142.9096,30.975927,0.0224,9.741,0.022,-0.976,0.14
180,357.13028,-8.966911,0.0846,10.861,0.02,0.321,0.072
181,19.768421,-0.138544,0.0175,9.755,0.021,-0.809,0.062
182,27.347546,-8.441564,0.0763,11.435,0.009,0.731,0.046
183,171.82893,38.66424,0.0212,10.02,0.026,-0.365,0.045
184,172.99426,-0.050321,0.0398,10.341,0.026,0.159,0.013
185,177.21434,-2.957432,0.063,10.54,0.037,0.342,0.122
186,214.48843,21.798134,0.0735,10.701,0.034,0.269,0.157
187,163.17902,31.344858,0.0831,11.213,0.031,-1.184,0.684
188,143.84067,13.548831,0.0199,10.323,0.016,-0.302,0.092
189,139.64626,32.270008,0.0269,10.442,0.016,-0.245,0.107
190,28.874853,-8.21129,0.052,10.579,0.024,0.019,0.144
191,175.66438,24.822521,0.021,10.518,0.02,-0.088,0.059
192,140.61188,23.095745,0.0263,10.08,0.03,-0.66,0.353
193,136.26474,43.0492,0.0927,11.004,0.032,0.788,0.143
194,212.16959,32.591877,0.1909,11.459,0.021,-1.161,0.69
196,155.33888,15.948075,0.0439,10.266,0.038,-0.054,0.2
197,200.31203,40.03249,0.0751,10.696,0.018,-0.593,0.291
198,114.19974,27.046415,0.0266,9.821,0.054,-0.281,0.162
199,41.61369,-0.65852,0.0433,10.687,0.024,0.376,0.085
200,245.5895,13.853833,0.0337,10.598,0.026,0.058,0.069
201,134.04907,31.13204,0.0544,10.482,0.042,0.426,0.076
202,138.3401,45.35404,0.0265,10.05,0.037,-0.045,0.021
203,192.24327,46.854195,0.1508,11.596,0.011,-1.446,0.448
204,310.96255,-6.311937,0.0513,10.441,0.021,0.095,0.044
205,171.71486,37.139957,0.1555,11.514,0.025,-0.481,0.414
206,153.76617,21.174185,0.0207,10.081,0.023,-0.236,0.069
207,251.10132,43.730717,0.0338,10.354,0.025,0.223,0.012
208,41.72584,-0.565195,0.042,10.761,0.016,0.161,0.063
209,213.4577,57.76959,0.0398,10.952,0.031,0.097,0.406
210,168.08237,28.570822,0.0335,10.492,0.038,0.376,0.344
211,2.03017,-0.77978,0.0632,10.838,0.011,0.203,0.022
212,214.84921,24.534494,0.0389,10.463,0.047,0.491,0.259
213,328.0336,-6.894934,0.0716,11.093,0.017,0.383,0.134
214,247.00702,47.407112,0.0829,10.963,0.01,0.404,0.017
215,262.58484,53.551525,0.0804,10.705,0.032,0.434,0.105
216,17.508802,18.108194,0.0623,10.599,0.043,0.356,0.18
217,118.00602,44.01664,0.0345,10.399,0.017,-0.05,0.032
218,239.61072,41.673676,0.035,10.186,0.02,-0.2,0.127
219,199.95267,42.572163,0.0957,11.3,0.038,1.204,0.091
220,218.28387,58.591915,0.0441,10.649,0.021,0.34,0.158
221,42.002502,-1.631427,0.24,11.341,0.023,-0.564,0.816
222,214.41423,55.040897,0.0414,10.261,0.015,0.009,0.139
223,240.79407,49.417652,0.0206,10.017,0.047,-0.258,0.226
224,12.949608,15.672759,0.0523,10.401,0.045,0.206,0.26
